Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bangladesh,47124925462,46987842847,47571130071,51913661485,56560744012,60277560976,61901116736,68415421373,79554350678,89356650349,1.00E+11
Brazil,6.45E+11,5.54E+11,5.04E+11,5.52E+11,6.64E+11,8.82E+11,1.09E+12,1.37E+12,1.65E+12,1.62E+12,2.14E+12
Canada,7.39E+11,7.33E+11,7.53E+11,8.88E+11,1.02E+12,1.16E+12,1.31E+12,1.46E+12,1.54E+12,1.37E+12,1.61E+12
China,1.20E+12,1.32E+12,1.45E+12,1.64E+12,1.93E+12,2.26E+12,2.71E+12,3.49E+12,4.52E+12,4.99E+12,5.93E+12
Colombia,99886577576,98203544965,97933392356,94684582573,1.17E+11,1.47E+11,1.63E+11,2.08E+11,2.44E+11,2.34E+11,2.87E+11
Ethiopia,8091384891,8080496318,7707034813,8465744001,9945571030,12173919387,15000803171,19346646117,26571320718,31843357840,29385611867
France,1.33E+12,1.34E+12,1.45E+12,1.79E+12,2.06E+12,2.14E+12,2.26E+12,2.58E+12,2.83E+12,2.62E+12,2.57E+12
Germany,1.89E+12,1.88E+12,2.01E+12,2.42E+12,2.73E+12,2.77E+12,2.90E+12,3.32E+12,3.62E+12,3.30E+12,3.30E+12
India,4.77E+11,4.94E+11,5.24E+11,6.18E+11,7.22E+11,8.34E+11,9.49E+11,1.24E+12,1.22E+12,1.37E+12,1.71E+12
Indonesia,1.65E+11,1.60E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.10E+11,5.40E+11,7.09E+11
Italy,1.10E+12,1.12E+12,1.23E+12,1.51E+12,1.74E+12,1.79E+12,1.87E+12,2.13E+12,2.31E+12,2.11E+12,2.06E+12
Japan,4.73E+12,4.16E+12,3.98E+12,4.30E+12,4.66E+12,4.57E+12,4.36E+12,4.36E+12,4.85E+12,5.04E+12,5.50E+12
Mexico,6.84E+11,7.25E+11,7.42E+11,7.13E+11,7.70E+11,8.66E+11,9.67E+11,1.04E+12,1.10E+12,8.95E+11,1.05E+12
Nigeria,46385996027,44138014092,59116868250,67655840108,87845403978,1.12E+11,1.45E+11,1.66E+11,2.08E+11,1.69E+11,3.69E+11
Pakistan,73952374970,72309738921,72306820396,83244801093,97977766198,1.10E+11,1.37E+11,1.52E+11,1.70E+11,1.68E+11,1.77E+11
Phillipeans,81026294681,76261998623,81357657790,83908205720,91371236939,1.03E+11,1.22E+11,1.49E+11,1.74E+11,1.68E+11,2.00E+11
Russia,2.60E+11,3.07E+11,3.45E+11,4.30E+11,5.91E+11,7.64E+11,9.90E+11,1.30E+12,1.66E+12,1.22E+12,1.52E+12
South Africa,1.33E+11,1.18E+11,1.11E+11,1.68E+11,2.19E+11,2.47E+11,2.61E+11,2.86E+11,2.73E+11,2.84E+11,3.65E+11
Spain,5.80E+11,6.09E+11,6.86E+11,8.84E+11,1.04E+12,1.13E+12,1.24E+12,1.44E+12,1.59E+12,1.45E+12,1.38E+12
Thailand,1.23E+11,1.16E+11,1.27E+11,1.43E+11,1.61E+11,1.76E+11,2.07E+11,2.47E+11,2.73E+11,2.64E+11,3.19E+11
Turkey,2.67E+11,1.96E+11,2.33E+11,3.03E+11,3.92E+11,4.83E+11,5.31E+11,6.47E+11,7.30E+11,6.15E+11,7.31E+11
Ukraine,31261527363,38009344577,42392896031,50132953288,64883060726,86142018069,1.08E+11,1.43E+11,1.80E+11,1.17E+11,1.36E+11
United Kingdom,1.49E+12,1.49E+12,1.62E+12,1.88E+12,2.22E+12,2.32E+12,2.48E+12,2.86E+12,2.69E+12,2.21E+12,2.30E+12
United States,1.03E+13,1.06E+13,1.10E+13,1.15E+13,1.23E+13,1.31E+13,1.39E+13,1.45E+13,1.47E+13,1.44E+13,1.50E+13
Vietnam,33640085728,35291349277,37947904054,42717072778,49424107710,57633255739,66371664817,77414425532,99130304099,1.06E+11,1.16E+11
