Country,GDP,EPC,Long,Lat
Bangladesh,1.00E+11,6.42794,90,23
Brazil,2.14E+12,57.69613,-47,-15
Canada,1.61E+12,383.49634,-106,56
China,5.93E+12,71.97437,104,35
Colombia,2.87E+11,30.95173,-74,4
Ethiopia,29385611867,1.58963,38,9
France,2.57E+12,169.76134,2,48
Germany,3.30E+12,171.81236,13,52
India,1.71E+12,19.36064,79,20
Indonesia,7.09E+11,25.81658,106,-6
Italy,2.06E+12,126.11908,12,41
Japan,5.50E+12,171.28318,139,35
Mexico,1.05E+12,64.84331,-99,19
Nigeria,3.69E+11,4.51894,7,9
Pakistan,1.77E+11,13.88819,73,33
Philippines,2.00E+11,12.1693,121,14
Russia,1.52E+12,208.55993,105,61
South Africa,3.65E+11,114.05031,28,-25
Spain,1.38E+12,134.24798,-3,40
Thailand,3.19E+11,65.19501,100,13
Turkey,7.31E+11,57.68926,32,39
UK,2.30E+12,143.11846,0,51
United States,1.50E+13,316.86657,-95,37
Vietnam,1.16E+11,20.52984,105,21
